,file,Re,alpha,Cl,Cd
0,n0012,10000.0,-25.0,-0.8276,0.42
1,n0012,10000.0,-24.0,-0.7744,0.394
2,n0012,10000.0,-23.0,-0.7216,0.369
3,n0012,10000.0,-22.0,-0.6687,0.344
4,n0012,10000.0,-21.0,-0.6161,0.32
5,n0012,10000.0,-20.0,-0.5838,0.297
6,n0012,10000.0,-19.0,-0.5121,0.274
7,n0012,10000.0,-18.0,-0.4606,0.252
8,n0012,10000.0,-17.0,-0.4079,0.231
9,n0012,10000.0,-16.0,-0.3548,0.21
10,n0012,10000.0,-15.0,-0.3008,0.19
11,n0012,10000.0,-14.0,-0.2468,0.171
12,n0012,10000.0,-13.0,-0.1928,0.152
13,n0012,10000.0,-12.0,-0.1387,0.134
14,n0012,10000.0,-11.0,-0.0848,0.117
15,n0012,10000.0,-10.0,-0.0311,0.101
16,n0012,10000.0,-9.0,0.0215,0.086
17,n0012,10000.0,-8.0,0.0703,0.072
18,n0012,10000.0,-7.0,0.1142,0.058
19,n0012,10000.0,-6.0,0.1413,0.046
20,n0012,10000.0,-5.0,-0.0328,0.0351
21,n0012,10000.0,-4.0,-0.2003,0.0359
22,n0012,10000.0,-3.0,-0.2009,0.0351
23,n0012,10000.0,-2.0,-0.1534,0.0343
24,n0012,10000.0,-1.0,-0.083,0.0338
25,n0012,10000.0,0.0,0.0,0.0337
26,n0012,10000.0,1.0,0.083,0.0338
27,n0012,10000.0,2.0,0.1534,0.0343
28,n0012,10000.0,3.0,0.2009,0.0351
29,n0012,10000.0,4.0,0.2003,0.0359
30,n0012,10000.0,5.0,0.0328,0.0351
31,n0012,10000.0,6.0,-0.1413,0.046
32,n0012,10000.0,7.0,-0.1142,0.058
33,n0012,10000.0,8.0,-0.0703,0.072
34,n0012,10000.0,9.0,-0.0215,0.086
35,n0012,10000.0,10.0,0.0311,0.101
36,n0012,10000.0,11.0,0.0848,0.117
37,n0012,10000.0,12.0,0.1387,0.134
38,n0012,10000.0,13.0,0.1928,0.152
39,n0012,10000.0,14.0,0.2468,0.171
40,n0012,10000.0,15.0,0.3008,0.19
41,n0012,10000.0,16.0,0.3548,0.21
42,n0012,10000.0,17.0,0.4079,0.231
43,n0012,10000.0,18.0,0.4606,0.252
44,n0012,10000.0,19.0,0.5121,0.274
45,n0012,10000.0,20.0,0.5838,0.297
46,n0012,10000.0,21.0,0.6161,0.32
47,n0012,10000.0,22.0,0.6687,0.344
48,n0012,10000.0,23.0,0.7216,0.369
49,n0012,10000.0,24.0,0.7744,0.394
50,n0012,10000.0,25.0,0.8276,0.42
51,n0012,20000.0,-25.0,-0.8297,0.42
52,n0012,20000.0,-24.0,-0.7765,0.394
53,n0012,20000.0,-23.0,-0.7238,0.369
54,n0012,20000.0,-22.0,-0.6709,0.344
55,n0012,20000.0,-21.0,-0.6184,0.32
56,n0012,20000.0,-20.0,-0.5663,0.297
57,n0012,20000.0,-19.0,-0.5147,0.274
58,n0012,20000.0,-18.0,-0.462,0.252
59,n0012,20000.0,-17.0,-0.4089,0.23
60,n0012,20000.0,-16.0,-0.3554,0.21
61,n0012,20000.0,-15.0,-0.3014,0.191
62,n0012,20000.0,-14.0,-0.2474,0.171
63,n0012,20000.0,-13.0,-0.1934,0.152
64,n0012,20000.0,-12.0,-0.1894,0.134
65,n0012,20000.0,-11.0,-0.0856,0.117
66,n0012,20000.0,-10.0,-0.032,0.101
67,n0012,20000.0,-9.0,0.0198,0.086
68,n0012,20000.0,-8.0,0.0699,0.072
69,n0012,20000.0,-7.0,0.1089,0.058
70,n0012,20000.0,-6.0,0.0298,0.046
71,n0012,20000.0,-5.0,-0.4781,0.0282
72,n0012,20000.0,-4.0,-0.3929,0.027
73,n0012,20000.0,-3.0,-0.3032,0.0259
74,n0012,20000.0,-2.0,-0.2072,0.0251
75,n0012,20000.0,-1.0,-0.1057,0.0247
76,n0012,20000.0,0.0,0.0,0.0245
77,n0012,20000.0,1.0,0.1057,0.0247
78,n0012,20000.0,2.0,0.2072,0.0251
79,n0012,20000.0,3.0,0.3032,0.0259
80,n0012,20000.0,4.0,0.3929,0.027
81,n0012,20000.0,5.0,0.4781,0.0282
82,n0012,20000.0,6.0,-0.0298,0.046
83,n0012,20000.0,7.0,-0.1089,0.058
84,n0012,20000.0,8.0,-0.0699,0.072
85,n0012,20000.0,9.0,-0.0198,0.086
86,n0012,20000.0,10.0,0.032,0.101
87,n0012,20000.0,11.0,0.0856,0.117
88,n0012,20000.0,12.0,0.1894,0.134
89,n0012,20000.0,13.0,0.1934,0.152
90,n0012,20000.0,14.0,0.2474,0.171
91,n0012,20000.0,15.0,0.3014,0.191
92,n0012,20000.0,16.0,0.3554,0.21
93,n0012,20000.0,17.0,0.4089,0.23
94,n0012,20000.0,18.0,0.462,0.252
95,n0012,20000.0,19.0,0.5147,0.274
96,n0012,20000.0,20.0,0.5663,0.297
97,n0012,20000.0,21.0,0.6184,0.32
98,n0012,20000.0,22.0,0.6709,0.344
99,n0012,20000.0,23.0,0.7238,0.369
100,n0012,20000.0,24.0,0.7765,0.394
101,n0012,20000.0,25.0,0.8297,0.42
102,n0012,40000.0,-25.0,-0.834,0.42
103,n0012,40000.0,-24.0,-0.7809,0.394
104,n0012,40000.0,-23.0,-0.7283,0.369
105,n0012,40000.0,-22.0,-0.6755,0.344
106,n0012,40000.0,-21.0,-0.6232,0.32
107,n0012,40000.0,-20.0,-0.5708,0.297
108,n0012,40000.0,-19.0,-0.5178,0.274
109,n0012,40000.0,-18.0,-0.4644,0.252
110,n0012,40000.0,-17.0,-0.4107,0.231
111,n0012,40000.0,-16.0,-0.3563,0.21
112,n0012,40000.0,-15.0,-0.3024,0.19
113,n0012,40000.0,-14.0,-0.2484,0.171
114,n0012,40000.0,-13.0,-0.1945,0.152
115,n0012,40000.0,-12.0,-0.1406,0.134
116,n0012,40000.0,-11.0,-0.0869,0.117
117,n0012,40000.0,-10.0,-0.0344,0.101
118,n0012,40000.0,-9.0,0.016,0.086
119,n0012,40000.0,-8.0,0.0615,0.072
120,n0012,40000.0,-7.0,0.0212,0.058
121,n0012,40000.0,-6.0,-0.6115,0.0232
122,n0012,40000.0,-5.0,-0.5276,0.0218
123,n0012,40000.0,-4.0,-0.4464,0.0199
124,n0012,40000.0,-3.0,-0.3376,0.0189
125,n0012,40000.0,-2.0,-0.22,0.0181
126,n0012,40000.0,-1.0,-0.11,0.0177
127,n0012,40000.0,0.0,0.0,0.0175
128,n0012,40000.0,1.0,0.11,0.0177
129,n0012,40000.0,2.0,0.22,0.0181
130,n0012,40000.0,3.0,0.3376,0.0189
131,n0012,40000.0,4.0,0.4464,0.0199
132,n0012,40000.0,5.0,0.5276,0.0218
133,n0012,40000.0,6.0,0.6115,0.0232
134,n0012,40000.0,7.0,-0.0212,0.058
135,n0012,40000.0,8.0,-0.0615,0.072
136,n0012,40000.0,9.0,-0.016,0.086
137,n0012,40000.0,10.0,0.0344,0.101
138,n0012,40000.0,11.0,0.0869,0.117
139,n0012,40000.0,12.0,0.1406,0.134
140,n0012,40000.0,13.0,0.1945,0.152
141,n0012,40000.0,14.0,0.2484,0.171
142,n0012,40000.0,15.0,0.3024,0.19
143,n0012,40000.0,16.0,0.3563,0.21
144,n0012,40000.0,17.0,0.4107,0.231
145,n0012,40000.0,18.0,0.4644,0.252
146,n0012,40000.0,19.0,0.5178,0.274
147,n0012,40000.0,20.0,0.5708,0.297
148,n0012,40000.0,21.0,0.6232,0.32
149,n0012,40000.0,22.0,0.6755,0.344
150,n0012,40000.0,23.0,0.7283,0.369
151,n0012,40000.0,24.0,0.7809,0.394
152,n0012,40000.0,25.0,0.834,0.42
153,n0012,80000.0,-25.0,-0.8432,0.42
154,n0012,80000.0,-24.0,-0.7902,0.394
155,n0012,80000.0,-23.0,-0.7373,0.369
156,n0012,80000.0,-22.0,-0.6839,0.344
157,n0012,80000.0,-21.0,-0.6305,0.32
158,n0012,80000.0,-20.0,-0.577,0.297
159,n0012,80000.0,-19.0,-0.5232,0.274
160,n0012,80000.0,-18.0,-0.4689,0.252
161,n0012,80000.0,-17.0,-0.4139,0.231
162,n0012,80000.0,-16.0,-0.3582,0.21
163,n0012,80000.0,-15.0,-0.3043,0.19
164,n0012,80000.0,-14.0,-0.2504,0.171
165,n0012,80000.0,-13.0,-0.1966,0.152
166,n0012,80000.0,-12.0,-0.143,0.134
167,n0012,80000.0,-11.0,-0.0911,0.117
168,n0012,80000.0,-10.0,-0.0413,0.06
169,n0012,80000.0,-9.0,0.001,0.06
170,n0012,80000.0,-8.0,-0.693,0.0222
171,n0012,80000.0,-7.0,-0.7227,0.0204
172,n0012,80000.0,-6.0,-0.6384,0.0189
173,n0012,80000.0,-5.0,-0.55,0.017
174,n0012,80000.0,-4.0,-0.44,0.0155
175,n0012,80000.0,-3.0,-0.33,0.0145
176,n0012,80000.0,-2.0,-0.22,0.0138
177,n0012,80000.0,-1.0,-0.11,0.0134
178,n0012,80000.0,0.0,0.0,0.0133
179,n0012,80000.0,1.0,0.11,0.0134
180,n0012,80000.0,2.0,0.22,0.0138
181,n0012,80000.0,3.0,0.33,0.0145
182,n0012,80000.0,4.0,0.44,0.0155
183,n0012,80000.0,5.0,0.55,0.017
184,n0012,80000.0,6.0,0.6384,0.0189
185,n0012,80000.0,7.0,0.7227,0.0204
186,n0012,80000.0,8.0,0.693,0.0222
187,n0012,80000.0,9.0,-0.001,0.06
188,n0012,80000.0,10.0,0.0413,0.06
189,n0012,80000.0,11.0,0.0911,0.117
190,n0012,80000.0,12.0,0.143,0.134
191,n0012,80000.0,13.0,0.1966,0.152
192,n0012,80000.0,14.0,0.2504,0.171
193,n0012,80000.0,15.0,0.3043,0.19
194,n0012,80000.0,16.0,0.3582,0.21
195,n0012,80000.0,17.0,0.4139,0.231
196,n0012,80000.0,18.0,0.4689,0.252
197,n0012,80000.0,19.0,0.5232,0.274
198,n0012,80000.0,20.0,0.577,0.297
199,n0012,80000.0,21.0,0.6305,0.32
200,n0012,80000.0,22.0,0.6839,0.344
201,n0012,80000.0,23.0,0.7373,0.369
202,n0012,80000.0,24.0,0.7902,0.394
203,n0012,80000.0,25.0,0.8432,0.42
204,n0012,160000.0,-25.0,-0.8572,0.42
205,n0012,160000.0,-24.0,-0.8034,0.394
206,n0012,160000.0,-23.0,-0.7497,0.369
207,n0012,160000.0,-22.0,-0.6956,0.344
208,n0012,160000.0,-21.0,-0.6414,0.32
209,n0012,160000.0,-20.0,-0.587,0.297
210,n0012,160000.0,-19.0,-0.5322,0.274
211,n0012,160000.0,-18.0,-0.4768,0.252
212,n0012,160000.0,-17.0,-0.42,0.231
213,n0012,160000.0,-16.0,-0.362,0.21
214,n0012,160000.0,-15.0,-0.3082,0.19
215,n0012,160000.0,-14.0,-0.2546,0.171
216,n0012,160000.0,-13.0,-0.203,0.152
217,n0012,160000.0,-12.0,-0.1533,0.134
218,n0012,160000.0,-11.0,-0.1095,0.076
219,n0012,160000.0,-10.0,-0.1325,0.0188
220,n0012,160000.0,-9.0,-0.8527,0.0203
221,n0012,160000.0,-8.0,-0.8274,0.0185
222,n0012,160000.0,-7.0,-0.746,0.017
223,n0012,160000.0,-6.0,-0.66,0.0152
224,n0012,160000.0,-5.0,-0.55,0.014
225,n0012,160000.0,-4.0,-0.44,0.0124
226,n0012,160000.0,-3.0,-0.33,0.0114
227,n0012,160000.0,-2.0,-0.22,0.0108
228,n0012,160000.0,-1.0,-0.11,0.0104
229,n0012,160000.0,0.0,0.0,0.0103
230,n0012,160000.0,1.0,0.11,0.0104
231,n0012,160000.0,2.0,0.22,0.0108
232,n0012,160000.0,3.0,0.33,0.0114
233,n0012,160000.0,4.0,0.44,0.0124
234,n0012,160000.0,5.0,0.55,0.014
235,n0012,160000.0,6.0,0.66,0.0152
236,n0012,160000.0,7.0,0.746,0.017
237,n0012,160000.0,8.0,0.8274,0.0185
238,n0012,160000.0,9.0,0.8527,0.0203
239,n0012,160000.0,10.0,0.1325,0.0188
240,n0012,160000.0,11.0,0.1095,0.076
241,n0012,160000.0,12.0,0.1533,0.134
242,n0012,160000.0,13.0,0.203,0.152
243,n0012,160000.0,14.0,0.2546,0.171
244,n0012,160000.0,15.0,0.3082,0.19
245,n0012,160000.0,16.0,0.362,0.21
246,n0012,160000.0,17.0,0.42,0.231
247,n0012,160000.0,18.0,0.4768,0.252
248,n0012,160000.0,19.0,0.5322,0.274
249,n0012,160000.0,20.0,0.587,0.297
250,n0012,160000.0,21.0,0.6414,0.32
251,n0012,160000.0,22.0,0.6956,0.344
252,n0012,160000.0,23.0,0.7497,0.369
253,n0012,160000.0,24.0,0.8034,0.394
254,n0012,160000.0,25.0,0.8572,0.42
255,n0012,360000.0,-25.0,-0.878,0.42
256,n0012,360000.0,-24.0,-0.8246,0.394
257,n0012,360000.0,-23.0,-0.7715,0.369
258,n0012,360000.0,-22.0,-0.7179,0.344
259,n0012,360000.0,-21.0,-0.6643,0.32
260,n0012,360000.0,-20.0,-0.612,0.297
261,n0012,360000.0,-19.0,-0.5591,0.274
262,n0012,360000.0,-18.0,-0.5047,0.252
263,n0012,360000.0,-17.0,-0.4455,0.231
264,n0012,360000.0,-16.0,-0.3792,0.21
265,n0012,360000.0,-15.0,-0.3306,0.19
266,n0012,360000.0,-14.0,-0.2893,0.106
267,n0012,360000.0,-13.0,-0.2759,0.0222
268,n0012,360000.0,-12.0,-0.4832,0.0217
