 CHEN AIRFOIL
1.00000  0.00000
0.99879  0.00101
0.99544  0.00271
0.98905  0.00398
0.98029  0.00676
0.96882  0.00928
0.95464  0.01184
0.93807  0.01451
0.91903  0.01740
0.89761  0.02060
0.87391  0.02400
0.84824  0.02778
0.82050  0.03194
0.79111  0.03654
0.76013  0.04139
0.72781  0.04676
0.69430  0.05243
0.65994  0.05858
0.62491  0.06500
0.58951  0.07184
0.55403  0.07889
0.51857  0.08625
0.48363  0.09375
0.44938  0.10120
0.41614  0.10866
0.38397  0.11582
0.35328  0.12285
0.32457  0.12951
0.29973  0.13592
0.27716  0.13962
0.25439  0.14003
0.23196  0.13850
0.20990  0.13553
0.18853  0.13130
0.16796  0.12599
0.14822  0.11980
0.12931  0.11284
0.11153  0.10518
0.09491  0.09691
0.07935  0.08825
0.06515  0.07917
0.05223  0.06987
0.04071  0.06045
0.03048  0.05101
0.02209  0.04202
0.01480  0.03302
0.00903  0.02430
0.00471  0.01605
0.00184  0.00847
0.00036  0.00178
0.00000  0.00000
0.00015 -0.00403
0.00116 -0.00843
0.00320 -0.01143
0.00620 -0.01370
0.01065 -0.01540
0.01755 -0.01651
0.02652 -0.01690
0.03759 -0.01607
0.05177 -0.01401
0.06908 -0.01043
0.08644 -0.00634
0.10681 -0.00212
0.12719  0.00220
0.14961  0.00695
0.17598  0.01114
0.20625  0.01428
0.22635  0.01542
0.26635  0.01539
0.29622  0.01396
0.32604  0.01182
0.35878  0.00893
0.38852  0.00589
0.41775  0.00291
0.45676 -0.00044
0.49355 -0.00289
0.52956 -0.00497
0.56488 -0.00709
0.59942 -0.00884
0.63322 -0.01003
0.66623 -0.01104
0.69835 -0.01197
0.72977 -0.01284
0.76001 -0.01361
0.78885 -0.01425
0.81641 -0.01468
0.84254 -0.01438
0.86690 -0.01363
0.88999 -0.01266
0.91141 -0.01134
0.93064 -0.00983
0.94798 -0.00815
0.96306 -0.00617
0.97563 -0.00427
0.98564 -0.00295
0.99303 -0.00199
0.99803 -0.00083
1.00000  0.00000
