FAUVEL 14% AIRFOIL
1.00000  0.00000
0.90020  0.00706
0.80043  0.01572
0.70071  0.02797
0.60104  0.04372
0.50144  0.06436
0.40179  0.08121
0.30206  0.09277
0.25215  0.09530
0.20218  0.09423
0.15215  0.08847
0.10203  0.07702
0.07694  0.06890
0.05180  0.05798
0.02660  0.04257
0.01395  0.03146
0.00111  0.00738
0.00000  0.00000
0.00091 -0.00631
0.01320 -0.01967
0.02562 -0.02425
0.05051 -0.03021
0.07542 -0.03407
0.10036 -0.03694
0.15024 -0.04147
0.20016 -0.04380
0.25010 -0.04453
0.30003 -0.04527
0.39991 -0.04673
0.49979 -0.04820
0.59974 -0.04517
0.69974 -0.03835
0.79978 -0.02833
0.89988 -0.01531
1.00000  0.00000
