nabab
    32.000000    1.300000
    30.500000    1.500000
    29.000000    1.700000
    27.500000    1.900000
    26.000000    2.100000
    24.500000    2.300000
    23.000000    2.500000
    22.900000    2.500000
    22.000000    2.500000
    20.000000    2.500000
    16.000000    2.500000
    10.000000    2.500000
     6.000000    2.500000
     4.000000    2.500000
     3.100000    2.500000
     3.000000    2.500000
     2.500000    2.300000
     2.000000    2.100000
     1.500000    1.900000
     1.000000    1.700000
     0.500000    1.500000
     0.249941    1.400253
     0.035827    1.313214
     0.008282    1.294099
     0.000600    1.251138
     0.000100    1.097929
     0.000000    0.900000
     0.000100    0.716977
     0.000600    0.543101
     0.008377    0.504233
     0.040476    0.490890
     0.245166    0.457405
     0.500000    0.416667
     1.000000    0.333333
     1.500000    0.250000
     2.000000    0.166667
     2.500000    0.083333
     3.000000    0.000000
     3.100000    0.000000
     4.000000    0.000000
     6.000000    0.000000
    10.000000    0.000000
    16.500000    0.000000
    23.000000    0.000000
    27.000000    0.000000
    29.000000    0.000000
    29.900000    0.000000
    30.000000    0.000000
    30.333332    0.083333
    30.666668    0.166667
    31.000000    0.250000
    31.333332    0.333333
    31.666668    0.416667
    32.000000    0.500000
