,name,ACC_cl,ACC_cd,ACC,R2_cl,R2_cd,MSE_cl,MSE_cd,MSE,MAE_cl,MAE_cd,MAE,MAPE_cl,MAPE_cd,MAPE
0,MLP_TF-hard_sigmoid,0.0639357429718875,0.5906827309236948,0.3273092369477912,0.9744454191705716,0.4153928467243571,0.0169877298176288,0.0003727785369846,0.0086802542209625,0.0994201451539993,0.0128024695441126,0.0561113059520721,256.8111267089844,70.68917846679688,163.75015258789062
1,MLP_TF-sigmoid,0.0359839357429718,0.6183132530120482,0.32714859437751,0.949943345958091,0.6589558677811416,0.0332757905125618,0.0002174690016545,0.0167466290295124,0.1474314630031585,0.0106247570365667,0.0790281146764755,15826.3974609375,63.81339263916016,7945.10595703125
2,MLP_TF-softmax,0.0202409638554216,0.389718875502008,0.2049799196787148,0.8926699748512222,-0.3971269602264597,0.071348987519741,0.0008908871677704,0.0361199378967285,0.2182829827070236,0.0205133687704801,0.1193981617689132,10480.533203125,151.21803283691406,5315.87548828125
3,MLP_TF-softsign,0.0213654618473895,0.657991967871486,0.3396787148594377,0.8959307230702763,0.6325071040966457,0.0691813677549362,0.0002343342348467,0.0347078517079353,0.2177816778421402,0.0102677447721362,0.1140247136354446,46254.359375,62.343711853027344,23158.353515625
4,MLP_TF-leakyrelu,0.0388755020080321,0.52,0.2794377510040161,0.9481159116239108,0.3903170875083107,0.0344906002283096,0.0003887682978529,0.0174396838992834,0.146500825881958,0.0140725523233413,0.0802866965532302,16689.66796875,74.98033905029297,8382.3251953125
5,MLP_TF-selu,0.0324497991967871,0.0877108433734939,0.0600803212851405,0.910061737598812,-0.7007895577389314,0.0597875863313674,0.0010845193173736,0.0304360557347536,0.1934327334165573,0.0292114056646823,0.1113220676779747,22146.466796875,222.22781372070312,11184.34765625
6,MLP_TF-elu,0.0390361445783132,0.2290763052208835,0.1340562248995984,0.9312833638959686,-0.3628251600112413,0.0456802509725093,0.0008690142421983,0.0232746321707963,0.1758793741464615,0.0235453844070434,0.0997123718261718,29160.107421875,175.23521423339844,14667.6708984375
7,MLP_TF-prelu,0.0546184738955823,0.2070682730923694,0.1308433734939759,0.9615264776189026,-0.2224591231763404,0.0255757551640272,0.0007795089622959,0.0131776314228773,0.1213859319686889,0.0231705605983734,0.0722782462835311,7868.86962890625,168.78883361816406,4018.829345703125
8,MLP_TF-tanh,0.0330923694779116,0.4130120481927711,0.2230522088353413,0.8752087977625846,0.340676387370509,0.0829565227031707,0.0004204220022074,0.041688472032547,0.2179920077323913,0.0154570015147328,0.1167245060205459,28271.494140625,109.76444244384766,14190.6298828125
9,MLP_TF-swish,0.0573493975903614,0.0311646586345381,0.0442570281124497,0.9677220232228276,-1.0978503015499,0.0214571915566921,0.0013377078576013,0.0113974492996931,0.1136863455176353,0.0322330668568611,0.0729597136378288,121.81466674804688,203.37860107421875,162.5966339111328
10,MLP_TF-softplus,0.0289156626506024,0.0780722891566265,0.0534939759036144,0.9459750843032836,-3.0400899932954117,0.0359137430787086,0.0025761898141354,0.0192449651658535,0.157076895236969,0.0436991751194,0.1003880351781845,19036.583984375,283.5617980957031,9660.07421875
11,MLP_TF-relu,0.051726907630522,0.4918875502008032,0.2718072289156626,0.951088865795014,0.0948608734040284,0.032514289021492,0.0005771678406745,0.0165457278490066,0.143400639295578,0.0168054345995187,0.0801030322909355,31049.8046875,113.13099670410156,15581.4677734375
12,MLP_TF-gelu,0.0433734939759036,0.1816867469879518,0.1125301204819277,0.9456886705330996,-2.060576117747855,0.0361041389405727,0.0019515962339937,0.0190278682857751,0.1564506590366363,0.0355954281985759,0.0960230454802513,26244.1796875,218.73460388183597,13231.45703125
13,MLP_SKL-,0.022008032128514,0.3241767068273092,0.1730923694779116,0.8490367813621067,-0.1066742426680538,0.1003547012805938,0.000705678074155,0.0505301915109157,0.2643618285655975,0.0197058171033859,0.1420338302850723,66226.1875,128.044921875,33177.11328125
14,RFR-,0.0700401606425702,0.6933333333333334,0.3816867469879518,0.96022753900489,0.5763116454749191,0.0264392436156779,0.0002701676310071,0.0133547056233425,0.1171580880791291,0.0105188421206488,0.063838465099889,11414.93465233244,55.472575764987184,5735.203614048714
15,MLP_TF-hard_sigmoid,0.09908787319942182,0.7008921896027513,0.3999900314010866,0.9718242161583497,0.7947506579413672,0.013450792990624905,0.00018101974274031818,0.006815906148403883,0.08042503893375397,0.008781868033111095,0.04460345208644867,5654.169921875,28.3815975189209,2841.27587890625
