file,Re,alpha,Cl,Cd
n0012,10000.0,-25.0,-0.8276,0.42
n0012,10000.0,-24.0,-0.7744,0.394
n0012,10000.0,-23.0,-0.7216,0.369
n0012,10000.0,-22.0,-0.6687,0.344
n0012,10000.0,-21.0,-0.6161,0.32
n0012,10000.0,-20.0,-0.5838,0.297
n0012,10000.0,-19.0,-0.5121,0.274
n0012,10000.0,-18.0,-0.4606,0.252
n0012,10000.0,-17.0,-0.4079,0.231
n0012,10000.0,-16.0,-0.3548,0.21
n0012,10000.0,-15.0,-0.3008,0.19
n0012,10000.0,-14.0,-0.2468,0.171
n0012,10000.0,-13.0,-0.1928,0.152
n0012,10000.0,-12.0,-0.1387,0.134
n0012,10000.0,-11.0,-0.0848,0.117
n0012,10000.0,-10.0,-0.0311,0.101
n0012,10000.0,-9.0,0.0215,0.086
n0012,10000.0,-8.0,0.0703,0.072
n0012,10000.0,-7.0,0.1142,0.058
n0012,10000.0,-6.0,0.1413,0.046
n0012,10000.0,-5.0,-0.0328,0.0351
n0012,10000.0,-4.0,-0.2003,0.0359
n0012,10000.0,-3.0,-0.2009,0.0351
n0012,10000.0,-2.0,-0.1534,0.0343
n0012,10000.0,-1.0,-0.083,0.0338
n0012,10000.0,0.0,0.0,0.0337
n0012,10000.0,1.0,0.083,0.0338
n0012,10000.0,2.0,0.1534,0.0343
n0012,10000.0,3.0,0.2009,0.0351
n0012,10000.0,4.0,0.2003,0.0359
n0012,10000.0,5.0,0.0328,0.0351
n0012,10000.0,6.0,-0.1413,0.046
n0012,10000.0,7.0,-0.1142,0.058
n0012,10000.0,8.0,-0.0703,0.072
n0012,10000.0,9.0,-0.0215,0.086
n0012,10000.0,10.0,0.0311,0.101
n0012,10000.0,11.0,0.0848,0.117
n0012,10000.0,12.0,0.1387,0.134
n0012,10000.0,13.0,0.1928,0.152
n0012,10000.0,14.0,0.2468,0.171
n0012,10000.0,15.0,0.3008,0.19
n0012,10000.0,16.0,0.3548,0.21
n0012,10000.0,17.0,0.4079,0.231
n0012,10000.0,18.0,0.4606,0.252
n0012,10000.0,19.0,0.5121,0.274
n0012,10000.0,20.0,0.5838,0.297
n0012,10000.0,21.0,0.6161,0.32
n0012,10000.0,22.0,0.6687,0.344
n0012,10000.0,23.0,0.7216,0.369
n0012,10000.0,24.0,0.7744,0.394
n0012,10000.0,25.0,0.8276,0.42
n0012,20000.0,-25.0,-0.8297,0.42
n0012,20000.0,-24.0,-0.7765,0.394
n0012,20000.0,-23.0,-0.7238,0.369
n0012,20000.0,-22.0,-0.6709,0.344
n0012,20000.0,-21.0,-0.6184,0.32
n0012,20000.0,-20.0,-0.5663,0.297
n0012,20000.0,-19.0,-0.5147,0.274
n0012,20000.0,-18.0,-0.462,0.252
n0012,20000.0,-17.0,-0.4089,0.23
n0012,20000.0,-16.0,-0.3554,0.21
n0012,20000.0,-15.0,-0.3014,0.191
n0012,20000.0,-14.0,-0.2474,0.171
n0012,20000.0,-13.0,-0.1934,0.152
n0012,20000.0,-12.0,-0.1894,0.134
n0012,20000.0,-11.0,-0.0856,0.117
n0012,20000.0,-10.0,-0.032,0.101
n0012,20000.0,-9.0,0.0198,0.086
n0012,20000.0,-8.0,0.0699,0.072
n0012,20000.0,-7.0,0.1089,0.058
n0012,20000.0,-6.0,0.0298,0.046
n0012,20000.0,-5.0,-0.4781,0.0282
n0012,20000.0,-4.0,-0.3929,0.027
n0012,20000.0,-3.0,-0.3032,0.0259
n0012,20000.0,-2.0,-0.2072,0.0251
n0012,20000.0,-1.0,-0.1057,0.0247
n0012,20000.0,0.0,0.0,0.0245
n0012,20000.0,1.0,0.1057,0.0247
n0012,20000.0,2.0,0.2072,0.0251
n0012,20000.0,3.0,0.3032,0.0259
n0012,20000.0,4.0,0.3929,0.027
n0012,20000.0,5.0,0.4781,0.0282
n0012,20000.0,6.0,-0.0298,0.046
n0012,20000.0,7.0,-0.1089,0.058
n0012,20000.0,8.0,-0.0699,0.072
n0012,20000.0,9.0,-0.0198,0.086
n0012,20000.0,10.0,0.032,0.101
n0012,20000.0,11.0,0.0856,0.117
n0012,20000.0,12.0,0.1894,0.134
n0012,20000.0,13.0,0.1934,0.152
n0012,20000.0,14.0,0.2474,0.171
n0012,20000.0,15.0,0.3014,0.191
n0012,20000.0,16.0,0.3554,0.21
n0012,20000.0,17.0,0.4089,0.23
n0012,20000.0,18.0,0.462,0.252
n0012,20000.0,19.0,0.5147,0.274
n0012,20000.0,20.0,0.5663,0.297
n0012,20000.0,21.0,0.6184,0.32
n0012,20000.0,22.0,0.6709,0.344
n0012,20000.0,23.0,0.7238,0.369
n0012,20000.0,24.0,0.7765,0.394
n0012,20000.0,25.0,0.8297,0.42
n0012,40000.0,-25.0,-0.834,0.42
n0012,40000.0,-24.0,-0.7809,0.394
n0012,40000.0,-23.0,-0.7283,0.369
n0012,40000.0,-22.0,-0.6755,0.344
n0012,40000.0,-21.0,-0.6232,0.32
n0012,40000.0,-20.0,-0.5708,0.297
n0012,40000.0,-19.0,-0.5178,0.274
n0012,40000.0,-18.0,-0.4644,0.252
n0012,40000.0,-17.0,-0.4107,0.231
n0012,40000.0,-16.0,-0.3563,0.21
n0012,40000.0,-15.0,-0.3024,0.19
n0012,40000.0,-14.0,-0.2484,0.171
n0012,40000.0,-13.0,-0.1945,0.152
n0012,40000.0,-12.0,-0.1406,0.134
