file,Re,alpha,Cl,Cd
naca0021,10000.0,-30.0,-0.855,0.57
naca0021,10000.0,-25.0,-0.4539,0.405
naca0021,10000.0,-22.0,-0.3002,0.329
naca0021,10000.0,-20.0,-0.2006,0.282
naca0021,10000.0,-18.0,-0.1035,0.238
naca0021,10000.0,-16.0,-0.0123,0.196
naca0021,10000.0,-14.0,0.0658,0.158
naca0021,10000.0,-12.0,0.1276,0.123
naca0021,10000.0,-10.0,0.1581,0.075
naca0021,10000.0,-9.0,0.1581,0.0575
naca0021,10000.0,-8.0,0.1475,0.0538
naca0021,10000.0,-7.0,0.14,0.0507
naca0021,10000.0,-6.0,0.124,0.048
naca0021,10000.0,-5.0,0.1156,0.0459
naca0021,10000.0,-4.0,0.0995,0.0441
naca0021,10000.0,-3.0,0.0854,0.0429
naca0021,10000.0,-2.0,0.0631,0.042
naca0021,10000.0,-1.0,0.032,0.0414
naca0021,10000.0,0.0,0.0,0.0413
naca0021,10000.0,1.0,-0.032,0.0414
naca0021,10000.0,2.0,-0.0631,0.042
naca0021,10000.0,3.0,-0.0854,0.0429
naca0021,10000.0,4.0,-0.0995,0.0441
naca0021,10000.0,5.0,-0.1156,0.0459
naca0021,10000.0,6.0,-0.124,0.048
naca0021,10000.0,7.0,-0.14,0.0507
naca0021,10000.0,8.0,-0.1475,0.0538
naca0021,10000.0,9.0,-0.1581,0.0575
naca0021,10000.0,10.0,-0.1581,0.075
naca0021,10000.0,12.0,-0.1276,0.123
naca0021,10000.0,14.0,-0.0658,0.158
naca0021,10000.0,16.0,0.0123,0.196
naca0021,10000.0,18.0,0.1035,0.238
naca0021,10000.0,20.0,0.2006,0.282
naca0021,10000.0,22.0,0.3002,0.329
naca0021,10000.0,25.0,0.4539,0.405
naca0021,10000.0,30.0,0.855,0.57
naca0021,20000.0,-30.0,-0.855,0.57
naca0021,20000.0,-25.0,-0.4618,0.405
naca0021,20000.0,-22.0,-0.3103,0.329
naca0021,20000.0,-20.0,-0.2124,0.282
naca0021,20000.0,-18.0,-0.118,0.238
naca0021,20000.0,-16.0,-0.0331,0.196
naca0021,20000.0,-14.0,0.0362,0.158
naca0021,20000.0,-12.0,0.0713,0.123
naca0021,20000.0,-10.0,0.0506,0.07
naca0021,20000.0,-9.0,0.019,0.0435
naca0021,20000.0,-8.0,-0.012,0.0407
naca0021,20000.0,-7.0,-0.0266,0.0382
naca0021,20000.0,-6.0,-0.0475,0.0362
naca0021,20000.0,-5.0,-0.0505,0.0345
naca0021,20000.0,-4.0,-0.0619,0.0332
naca0021,20000.0,-3.0,-0.0472,0.0321
naca0021,20000.0,-2.0,-0.0393,0.0314
naca0021,20000.0,-1.0,-0.0243,0.031
naca0021,20000.0,0.0,0.0,0.0309
naca0021,20000.0,1.0,0.0243,0.031
naca0021,20000.0,2.0,0.0393,0.0314
naca0021,20000.0,3.0,0.0472,0.0321
naca0021,20000.0,4.0,0.0619,0.0332
naca0021,20000.0,5.0,0.0505,0.0345
naca0021,20000.0,6.0,0.0475,0.0362
naca0021,20000.0,7.0,0.0266,0.0382
naca0021,20000.0,8.0,0.012,0.0407
naca0021,20000.0,9.0,-0.019,0.0435
naca0021,20000.0,10.0,-0.0506,0.07
naca0021,20000.0,12.0,-0.0713,0.123
naca0021,20000.0,14.0,-0.0362,0.158
naca0021,20000.0,16.0,0.0331,0.196
naca0021,20000.0,18.0,0.118,0.238
naca0021,20000.0,20.0,0.2124,0.282
naca0021,20000.0,22.0,0.3103,0.329
naca0021,20000.0,25.0,0.4618,0.405
naca0021,20000.0,30.0,0.855,0.57
naca0021,40000.0,-30.0,-0.855,0.57
naca0021,40000.0,-25.0,-0.4802,0.405
naca0021,40000.0,-22.0,-0.3345,0.329
naca0021,40000.0,-20.0,-0.2414,0.282
naca0021,40000.0,-18.0,-0.1619,0.238
naca0021,40000.0,-16.0,-0.0981,0.196
naca0021,40000.0,-14.0,-0.0833,0.158
naca0021,40000.0,-12.0,-0.166,0.123
naca0021,40000.0,-10.0,-0.2691,0.062
naca0021,40000.0,-9.0,-0.3162,0.0343
naca0021,40000.0,-8.0,-0.342,0.0319
naca0021,40000.0,-7.0,-0.3427,0.0297
naca0021,40000.0,-5.0,-0.3086,0.0264
naca0021,40000.0,-5.0,-0.3382,0.0279
naca0021,40000.0,-4.0,-0.273,0.0253
naca0021,40000.0,-3.0,-0.2103,0.0243
naca0021,40000.0,-2.0,-0.1465,0.0237
naca0021,40000.0,-1.0,-0.0752,0.0233
naca0021,40000.0,0.0,0.0,0.0232
naca0021,40000.0,1.0,0.0752,0.0233
naca0021,40000.0,2.0,0.1465,0.0237
naca0021,40000.0,3.0,0.2103,0.0243
naca0021,40000.0,4.0,0.273,0.0253
naca0021,40000.0,5.0,0.3086,0.0264
naca0021,40000.0,5.0,0.3382,0.0279
naca0021,40000.0,7.0,0.3427,0.0297
naca0021,40000.0,8.0,0.342,0.0319
naca0021,40000.0,9.0,0.3162,0.0343
naca0021,40000.0,10.0,0.2691,0.062
naca0021,40000.0,12.0,0.166,0.123
naca0021,40000.0,14.0,0.0833,0.158
naca0021,40000.0,16.0,0.0981,0.196
naca0021,40000.0,18.0,0.1619,0.238
naca0021,40000.0,20.0,0.2414,0.282
naca0021,40000.0,22.0,0.3345,0.329
naca0021,40000.0,25.0,0.4802,0.405
naca0021,40000.0,30.0,0.855,0.57
naca0021,80000.0,-30.0,-0.855,0.57
naca0021,80000.0,-25.0,-0.5297,0.405
naca0021,80000.0,-22.0,-0.4091,0.329
naca0021,80000.0,-20.0,-0.3475,0.282
naca0021,80000.0,-18.0,-0.3221,0.238
naca0021,80000.0,-16.0,-0.3499,0.196
naca0021,80000.0,-14.0,-0.4296,0.158
naca0021,80000.0,-12.0,-0.5228,0.123
naca0021,80000.0,-11.0,-0.5564,0.07
naca0021,80000.0,-10.0,-0.578,0.0297
naca0021,80000.0,-9.0,-0.5874,0.0273
naca0021,80000.0,-8.0,-0.5751,0.0252
naca0021,80000.0,-7.0,-0.5445,0.0233
naca0021,80000.0,-5.0,-0.4324,0.0204
naca0021,80000.0,-5.0,-0.4953,0.0217
naca0021,80000.0,-4.0,-0.3564,0.0194
naca0021,80000.0,-3.0,-0.2731,0.0186
naca0021,80000.0,-2.0,-0.1839,0.0181
naca0021,80000.0,-1.0,-0.0921,0.0178
naca0021,80000.0,0.0,0.0,0.0177
naca0021,80000.0,1.0,0.0921,0.0178
naca0021,80000.0,2.0,0.1839,0.0181
naca0021,80000.0,3.0,0.2731,0.0186
naca0021,80000.0,4.0,0.3564,0.0194
naca0021,80000.0,5.0,0.4324,0.0204
naca0021,80000.0,5.0,0.4953,0.0217
naca0021,80000.0,7.0,0.5445,0.0233
naca0021,80000.0,8.0,0.5751,0.0252
naca0021,80000.0,9.0,0.5874,0.0273
naca0021,80000.0,10.0,0.578,0.0297
naca0021,80000.0,11.0,0.5564,0.07
naca0021,80000.0,12.0,0.5228,0.123
naca0021,80000.0,14.0,0.4296,0.158
naca0021,80000.0,16.0,0.3499,0.196
naca0021,80000.0,18.0,0.3221,0.238
naca0021,80000.0,20.0,0.3475,0.282
naca0021,80000.0,22.0,0.4091,0.329
naca0021,80000.0,25.0,0.5297,0.405
naca0021,80000.0,30.0,0.855,0.57
naca0021,160000.0,-30.0,-0.855,0.57
naca0021,160000.0,-25.0,-0.6664,0.405
naca0021,160000.0,-22.0,-0.6023,0.329
naca0021,160000.0,-20.0,-0.592,0.282
naca0021,160000.0,-18.0,-0.6098,0.238
naca0021,160000.0,-16.0,-0.6487,0.196
naca0021,160000.0,-14.0,-0.6993,0.158
naca0021,160000.0,-13.0,-0.7255,0.086
naca0021,160000.0,-12.0,-0.7363,0.0292
naca0021,160000.0,-11.0,-0.7443,0.0266
naca0021,160000.0,-10.0,-0.7374,0.0243
naca0021,160000.0,-9.0,-0.7148,0.0222
naca0021,160000.0,-8.0,-0.6745,0.0204
naca0021,160000.0,-7.0,-0.6209,0.0187
naca0021,160000.0,-5.0,-0.4687,0.0163
naca0021,160000.0,-5.0,-0.5486,0.0174
naca0021,160000.0,-4.0,-0.38,0.0155
naca0021,160000.0,-3.0,-0.2861,0.0148
naca0021,160000.0,-2.0,-0.1879,0.0143
naca0021,160000.0,-1.0,-0.0842,0.014
naca0021,160000.0,0.0,0.0,0.0139
naca0021,160000.0,1.0,0.0842,0.014
naca0021,160000.0,2.0,0.1879,0.0143
naca0021,160000.0,3.0,0.2861,0.0148
naca0021,160000.0,4.0,0.38,0.0155
naca0021,160000.0,5.0,0.4687,0.0163
naca0021,160000.0,5.0,0.5486,0.0174
naca0021,160000.0,7.0,0.6209,0.0187
naca0021,160000.0,8.0,0.6745,0.0204
naca0021,160000.0,9.0,0.7148,0.0222
naca0021,160000.0,10.0,0.7374,0.0243
naca0021,160000.0,11.0,0.7443,0.0266
naca0021,160000.0,12.0,0.7363,0.0292
naca0021,160000.0,13.0,0.7255,0.086
naca0021,160000.0,14.0,0.6993,0.158
naca0021,160000.0,16.0,0.6487,0.196
naca0021,160000.0,18.0,0.6098,0.238
naca0021,160000.0,20.0,0.592,0.282
naca0021,160000.0,22.0,0.6023,0.329
naca0021,160000.0,25.0,0.6664,0.405
naca0021,160000.0,30.0,0.855,0.57
naca0021,360000.0,-30.0,-0.855,0.57
naca0021,360000.0,-25.0,-0.8866,0.405
naca0021,360000.0,-22.0,-0.8453,0.329
naca0021,360000.0,-20.0,-0.8397,0.282
naca0021,360000.0,-18.0,-0.8489,0.238
naca0021,360000.0,-16.0,-0.8717,0.196
naca0021,360000.0,-15.0,-0.884,0.104
naca0021,360000.0,-14.0,-0.8937,0.0286
naca0021,360000.0,-13.0,-0.8973,0.026
naca0021,360000.0,-12.0,-0.8938,0.0237
